id,label,lifecycle,aliases,country,extant,founded,lineage,location,operational_status,owner_entity,owner_primary,region_id
distillery.8-doors,8 Doors,active,,GB,True,2022,original,John O’Groats,operational,Kerry and Derek Campbell,Independent,region.highlands
distillery.aberargie,Aberargie,active,,GB,True,2017,original,Aberargie,operational,Perth Distilling Co,Independent,region.lowlands
distillery.aberfeldy,Aberfeldy,active,,GB,True,1896,original,Aberfeldy,operational,John Dewar & Sons,Bacardi,region.highlands
distillery.aberlour,Aberlour,active,,GB,True,1879,original,Aberlour,operational,Chivas Brothers,Pernod Ricard,region.speyside
distillery.abhainn-dearg,Abhainn Dearg,active,,GB,True,2008,original,Uig,operational,Mark Tayburn,Independent,region.islands
distillery.adelphi,Adelphi,deprecated,,GB,False,1907,original,Glasgow,demolished,,,region.lowlands
distillery.ailsa-bay,Ailsa Bay,active,,GB,True,2009,original,Girvan,operational,William Grant & Sons,William Grant & Sons,region.lowlands
distillery.albyn,Albyn,deprecated,,GB,False,1920,original,Millknowe,demolished,,,region.campbeltown
distillery.allt-a-bhainne,Allt-A-Bhainne,active,,GB,True,1975,original,Glenrinnes,operational,Chivas Brothers,Pernod Ricard,region.speyside
distillery.annandale,Annandale,active,,GB,True,1836,original,Annan,operational,Annandale Distillery Company,Independent,region.lowlands
distillery.arbikie,Arbikie,active,,GB,True,2013,original,Inverkeilor,operational,Arbikie Highland Estate,Independent,region.highlands
distillery.ardbeg,Ardbeg,active,,GB,True,1815,original,Port Ellen,operational,LVMH,Independent,region.islay
distillery.ardgowan,Ardgowan,active,,GB,True,1896,original,Inverkip,operational,Ardgowan Distillery Company,Independent,region.lowlands
distillery.ardlussa,Ardlussa,deprecated,,GB,False,1927,original,Campbeltown,demolished,,,region.campbeltown
distillery.ardmore,Ardmore,active,,GB,True,1898,original,Kennethmont,operational,Suntory Global Spirits,Suntory Global Spirits,region.highlands
distillery.ardnahoe,Ardnahoe,active,,GB,True,2019,original,Port Askaig,operational,Hunter Laing & Company,Independent,region.islay
distillery.ardnamurchan,Ardnamurchan,active,,GB,True,2014,original,Ardnamurchan,operational,Adelphi Distillery Co,Independent,region.highlands
distillery.ardross,Ardross,active,,GB,True,2019,original,Alness,operational,Greenwood Distillers,Independent,region.highlands
distillery.argyll,Argyll,deprecated,,GB,False,1923,original,Campbeltown,demolished,,,region.campbeltown
distillery.arran,Arran,active,,GB,True,1995,original,Lochranza,operational,Isle of Arran Distillers Ltd.,Isle of Arran Distillers,region.islands
distillery.auchentoshan,Auchentoshan,active,,GB,True,1823,original,Dalmuir,operational,Suntory Global Spirits,Suntory Global Spirits,region.lowlands
distillery.auchinblae,Auchinblae,deprecated,,GB,False,1929,original,Auchenblae,demolished,,,region.highlands
distillery.auchnagie,Auchnagie,deprecated,,GB,False,1911,original,Tulliemet,demolished,,,region.highlands
distillery.auchroisk,Auchroisk,active,,GB,True,1972,original,Mulben,operational,Diageo,Diageo,region.speyside
distillery.auchtermuchty,Auchtermuchty,active,,GB,True,1926,original,Auchtermuchty,closed,,,region.lowlands
distillery.auchtertool,Auchtertool,deprecated,,GB,False,1927,original,Auchtertool,demolished,,,region.lowlands
distillery.aultmore,Aultmore,active,,GB,True,1895,original,Banffshire,operational,John Dewar & Sons,Bacardi,region.speyside
distillery.balblair,Balblair,active,,GB,True,1790,original,Edderton,operational,Inver House Distillers,International Beverage,region.highlands
distillery.ballechin,Ballechin,deprecated,,GB,False,1927,original,Pitlochry,demolished,,,region.highlands
distillery.ballindalloch,Ballindalloch,active,,GB,True,2014,original,Ballindalloch,operational,Ballindalloch Distillery LLP,Independent,region.speyside
distillery.balmenach,Balmenach,active,,GB,True,1824,original,Cromdale,operational,Inver House Distillers,International Beverage,region.speyside
distillery.balvenie,Balvenie,active,The Balvenie,GB,True,1892,original,Dufftown,operational,William Grant & Sons,William Grant & Sons,region.speyside
distillery.banff,Banff,deprecated,,GB,False,1983,original,Banff,demolished,,,region.speyside
distillery.bankier,Bankier,deprecated,,GB,False,1928,original,Denny,demolished,,,region.lowlands
distillery.ben-morven,Ben Morven,deprecated,,GB,False,1914,original,Halkirk,demolished,,,region.highlands
distillery.ben-nevis,Ben Nevis,active,,GB,True,1825,original,Fort William,operational,Nikka Whisky Distilling Co Ltd,Independent,region.highlands
distillery.ben-wyvis,Ben Wyvis,deprecated,,GB,False,1977,original,Dingwall,demolished,,,region.highlands
distillery.benachie,Benachie,deprecated,,GB,False,1915,original,Insch,demolished,,,region.highlands
distillery.benbecula,Benbecula,active,,GB,True,2024,original,Outer Hebrides,operational,Angus A. MacMillan,Independent,region.islands
distillery.benmore,Benmore,active,,GB,True,1927,original,Campbeltown,closed,,,region.campbeltown
distillery.benriach,BenRiach,active,,GB,True,1898,original,Longmorn,operational,Brown-Forman,Brown-Forman,region.speyside
distillery.benrinnes,Benrinnes,active,,GB,True,1826,original,Banffshire,operational,Diageo,Diageo,region.speyside
distillery.benromach,Benromach,active,,GB,True,1898,original,Forres,operational,Gordon & MacPhail,Gordon & MacPhail,region.speyside
distillery.blackness,Blackness,active,,GB,True,2024,original,Linlithgow,operational,Colm O'Rourke,Independent,region.lowlands
distillery.bladnoch,Bladnoch,active,,GB,True,1817,original,Wigtown,operational,David Prior,Independent,region.lowlands
distillery.blair-athol,Blair Athol,active,,GB,True,1798,original,Pitlochry,operational,Diageo,Diageo,region.highlands
distillery.bon-accord,Bon Accord,deprecated,,GB,False,1913,original,Aberdeen,demolished,,,region.highlands
distillery.bonnington,Bonnington,active,,GB,True,2020,original,Edinburgh,operational,Halewood Artisanal Spirits,Independent,region.lowlands
distillery.borders,Borders,active,,GB,True,2018,original,Hawick,operational,The Three Stills Company,Independent,region.lowlands
distillery.bowmore,Bowmore,active,,GB,True,1779,original,Bowmore,operational,Suntory Global Spirits,Suntory Global Spirits,region.islay
distillery.braeval,Braeval,active,,GB,True,1973,original,Ballindalloch,operational,Chivas Brothers,Pernod Ricard,region.speyside
distillery.brewdog,BrewDog,active,,GB,True,2007,original,Ellon,operational,BrewDog,Independent,region.highlands
distillery.brora,Brora,active,,GB,True,1819,revived,Brora,operational,Diageo,Diageo,region.highlands
distillery.bruichladdich,Bruichladdich,active,,GB,True,1881,original,Rhinns of Islay,operational,Rémy Cointreau,Independent,region.islay
distillery.bunnahabhain,Bunnahabhain,active,,GB,True,1881,original,Port Askaig,operational,Distell,Distell,region.islay
distillery.burn-o-bennie,Burn O'Bennie,active,,GB,True,2021,original,Banchory,operational,Deeside Brewery & Distillery Ltd.,Independent,region.highlands
distillery.burnside,Burnside,deprecated,,GB,False,1919,original,Campbeltown,demolished,,,region.campbeltown
distillery.cabrach,Cabrach,active,,GB,True,2024,original,Cabrach,operational,The Cabrach Trust,Independent,region.speyside
distillery.cairn,Cairn,active,,GB,True,2022,original,Grantown-on-Spey,operational,Gordon & MacPhail,Gordon & MacPhail,region.speyside
distillery.caledonian,Caledonian,deprecated,,GB,False,1842,original,Campbeltown,demolished,,,region.campbeltown
distillery.campbeltown,Campbeltown,deprecated,,GB,False,1924,original,Campbeltown,demolished,,,region.campbeltown
distillery.caol-ila,Caol Ila,active,,GB,True,1846,original,Port Askaig,operational,Diageo,Diageo,region.islay
distillery.caperdonich,Caperdonich,active,,GB,True,2002,original,Rothes,demolished,,,region.speyside
distillery.cardhu,Cardhu,active,,GB,True,1824,original,Knockando,operational,Diageo,Diageo,region.speyside
distillery.clydesdale,Clydesdale,deprecated,,GB,False,1919,original,Wishaw,demolished,,,region.lowlands
distillery.clydeside,Clydeside,active,,GB,True,2017,original,Glasgow,operational,Morrison Glasgow Distillers,Independent,region.lowlands
distillery.clynelish,Clynelish,active,,GB,True,1967,original,Brora,operational,Diageo,Diageo,region.highlands
distillery.coleburn,Coleburn,active,,GB,True,1985,original,Elgin,planned,,,region.speyside
distillery.convalmore,Convalmore,active,,GB,True,1985,original,Dufftown,closed,,,region.speyside
distillery.cragganmore,Cragganmore,active,,GB,True,1869,original,Ballindalloch,operational,Diageo,Diageo,region.speyside
distillery.craigellachie,Craigellachie,active,,GB,True,1891,original,Craigellachie,operational,John Dewar & Sons,Bacardi,region.speyside
distillery.daftmill,Daftmill,active,,GB,True,2005,original,Fife,operational,Francis and Ian Cuthbert,Independent,region.lowlands
distillery.dailuaine,Dailuaine,active,,GB,True,1852,original,Aberlour,operational,Diageo,Diageo,region.speyside
distillery.dalaruan,Dalaruan,deprecated,,GB,False,1922,original,Campbeltown,demolished,,,region.campbeltown
distillery.dalintober,Dalintober,deprecated,,GB,False,1925,original,Campbeltown,demolished,,,region.campbeltown
